m_key_mumax,m_key_mumin,m_check_mumax,m_check_mumin,n_key_mumax,n_key_mumin,n_check_mumax,n_check_mumin,total_pulses
118,20,272,40,13645,1355,12233,1250,57569
108,19,254,55,13616,1384,12026,1210,56940
