,0.975,0.946,length
0,0.000524384202067154,0.000882801950290288,1
1,0.0007415912504575627,0.001248470490989944,2
2,0.001048768404134308,0.0017656039005805753,3
3,0.0014831825009151258,0.002496940981979888,4
4,0.002097536808268616,0.0035312078011611506,5
5,0.0029663650018302507,0.004993881963959776,6
6,0.004195073616537232,0.007062415602322304,7
7,0.005932730003660501,0.009987763927919552,8
8,0.008390147233074467,0.014124831204644608,9
