,8e-06,0.581,0.798,length
0,0.7071048206729784,0.5781436878936616,0.5362583084089713,1
1,0.9999972274151214,0.8176186444196138,0.758383772687221,2
2,1.4142096413459568,1.156287375787323,1.0725166168179425,3
3,1.9999944548302429,1.6352372888392277,1.516767545374442,4
4,2.828419282691914,2.312574751574646,2.145033233635885,5
5,3.9999889096604857,3.2704745776784554,3.033535090748884,6
6,5.656838565383827,4.625149503149293,4.29006646727177,7
7,7.9999778193209705,6.540949155356913,6.067070181497768,8
8,11.313677130767655,9.250299006298587,8.58013293454354,9
