,0.975,0.946,length
0,0.5043509918951995,0.5094455983083613,1
1,0.7132600129345141,0.7204648744189606,2
2,1.008701983790399,1.0188911966167227,3
3,1.426520025869028,1.4409297488379211,4
4,2.017403967580798,2.037782393233446,5
5,2.853040051738056,2.8818594976758423,6
6,4.034807935161597,4.075564786466892,7
7,5.706080103476113,5.7637189953516845,8
8,8.069615870323194,8.151129572933783,9
