,8e-06,0.58,0.79,length
0,1.4703831384294622e-06,0.0014030715185566684,0.0018636897611339215,1
1,2.0794357762516617e-06,0.0019842427705222543,0.0026356553362514657,2
2,2.9407662768589244e-06,0.002806143037113337,0.003727379522267843,3
3,4.158871552503323e-06,0.003968485541044509,0.005271310672502931,4
4,5.881532553717849e-06,0.005612286074226674,0.007454759044535686,5
5,8.317743105006647e-06,0.007936971082089017,0.010542621345005863,6
6,1.1763065107435697e-05,0.011224572148453347,0.014909518089071372,7
7,1.6635486210013293e-05,0.015873942164178034,0.021085242690011725,8
8,2.3526130214871395e-05,0.022449144296906694,0.029819036178142744,9
