,8e-06,0.581,0.798,length
0,1.4703831384294622e-06,0.0008014773344440409,0.0005575589017882861,1
1,2.0794357762516617e-06,0.0011334601163053998,0.0007885073607308425,2
2,2.9407662768589244e-06,0.0016029546688880818,0.0011151178035765721,3
3,4.158871552503323e-06,0.0022669202326107995,0.001577014721461685,4
4,5.881532553717849e-06,0.0032059093377761637,0.0022302356071531443,5
5,8.317743105006647e-06,0.004533840465221599,0.00315402944292337,6
6,1.1763065107435697e-05,0.006411818675552327,0.004460471214306289,7
7,1.6635486210013293e-05,0.009067680930443198,0.00630805888584674,8
8,2.3526130214871395e-05,0.012823637351104658,0.008920942428612577,9
